article,topic,cluster
Sistem Monitoring Volitional Fatigue Menggunakan Metode Random Forest dengan Fitur Root Mean Square dan Integrated Electromyogram,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Faktor-Faktor yang Mempengaruhi Minat Beli Recommerce (Studi Kualitatif Jual Beli Pakaian Bekas di Aplikasi Carousell),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Perbandingan Kinerja Model YOLOv6 dan YOLOv7 dalam Mendeteksi Sampah Perairan,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Perbandingan Penggunaan Logging Library Pada Aplikasi Web REST API Menggunakan Bahasa Pemrograman Go,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Procedural Content Generation Dalam Gim Dungeon Crawler Menggunakan Algoritma Random Walk dan Binary Space Partitioning,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Perbandingan Model Navigasi Pada Sistem Informasi Berbasis Web Masjid Al-Mu’minun Menggunakan Metode Usability Testing,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Evaluasi Pengalaman Pemain Pada Gim Hades Menggunakan Ubisoft Perceived Experience Questionnaire,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Klasifikasi Kategori Buku Berdasarkan Judul Menggunakan Metode Naive Bayes Classifier (Studi Kasus: UB Press),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Faktor-Faktor Yang Memengaruhi Penerimaan Aplikasi Threads (Studi Kasus: Generasi Milenial Dan Generasi Z),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Perbandingan Kecepatan Transaksi Antara QRIS Statis dan QRIS Dinamis Menggunakan Mekanisme Merchant Presented Mode,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Implementasi Low Power System pada Sistem Bantu Wearable pada Training Angkat Beban untuk Otot Biceps,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Faktor-Faktor Yang Mempengaruhi Intention To Use Pada Aplikasi Tokopedia Menggunakan Technology Acceptance Model (TAM) Termodifikasi,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Sentimen Terhadap Pendapat Masyarakat Mengenai Pilkada 2024 Menggunakan Metode Support Vector Machine (SVM),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Karakteristik Pelanggan Menggunakan Metode RFM-DL dan Algoritma DBSCAN,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Pengaruh Media Pembelajaran Microlearning Berbantu Media Sosial TikTok Terhadap Motivasi Belajar dan Keterampilan Siswa Pada Mata Pelajaran Informatika di SMK Negeri 3 Malang.,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
